city,country,main,description,temperature,created_at
London,GB,Clear,clear sky,14,2026-03-18T17:53:24
Sylhet Division,BD,Clouds,overcast clouds,18,2026-03-18T17:53:24
Paris,FR,Clear,clear sky,15,2026-03-18T17:53:24
Tokyo,JP,Clouds,broken clouds,13,2026-03-18T17:53:24
Madrid,ES,Clear,clear sky,17,2026-03-18T17:53:24
